timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071498844,89,view available,200,OK,Thread Group 1-2022,text,true,,218,401,1921,1921,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,89,0,0
1695071498343,593,view available,200,OK,Thread Group 1-1972,text,true,,218,401,1923,1923,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,593,0,0
1695071498845,91,get services,200,OK,Thread Group 1-13,text,true,,244,323,1923,1923,http://34.159.148.128/api/Service/get?companyId=3,91,0,0
1695071498360,580,view available,200,OK,Thread Group 1-2315,text,true,,218,401,1923,1923,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,580,0,0
1695071498185,756,login,200,OK,Thread Group 1-2448,text,true,,327,288,1924,1924,http://34.159.148.128/api/Account/login,756,0,179
1695071498442,500,view block times,200,OK,Thread Group 1-1118,text,true,,218,342,1924,1924,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,500,0,0
1695071495538,3404,view available,200,OK,Thread Group 1-1395,text,true,,218,401,1924,1924,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,3404,0,0
1695071498385,558,get services,200,OK,Thread Group 1-2057,text,true,,244,323,1924,1924,http://34.159.148.128/api/Service/get?companyId=3,558,0,0
1695071494975,3968,login,200,OK,Thread Group 1-1378,text,true,,327,288,1924,1924,http://34.159.148.128/api/Account/login,3968,0,3207
1695071498383,563,view block times,200,OK,Thread Group 1-1556,text,true,,218,342,1925,1925,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,563,0,0
1695071498856,91,view available,200,OK,Thread Group 1-1979,text,true,,218,401,1924,1924,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,91,0,0
1695071498857,92,view available,200,OK,Thread Group 1-1307,text,true,,218,401,1925,1925,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,92,0,0
1695071498857,94,view books,200,OK,Thread Group 1-1563,text,true,,276,381,1925,1925,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,94,0,0
1695071497559,1393,get services,200,OK,Thread Group 1-1664,text,true,,244,323,1926,1926,http://34.159.148.128/api/Service/get?companyId=3,1393,0,0
1695071497765,1188,get services,200,OK,Thread Group 1-1177,text,true,,244,323,1926,1926,http://34.159.148.128/api/Service/get?companyId=3,1188,0,0
1695071497762,1191,login,200,OK,Thread Group 1-2307,text,true,,327,288,1926,1926,http://34.159.148.128/api/Account/login,1191,0,1096
1695071498862,92,get services,200,OK,Thread Group 1-2273,text,true,,244,323,1926,1926,http://34.159.148.128/api/Service/get?companyId=3,92,0,0
1695071498866,93,view available,200,OK,Thread Group 1-1133,text,true,,218,401,1928,1928,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,93,0,0
1695071497776,1185,login,200,OK,Thread Group 1-2312,text,true,,327,288,1928,1928,http://34.159.148.128/api/Account/login,1184,0,1096
1695071498780,181,login,200,OK,Thread Group 1-2647,text,true,,327,288,1928,1928,http://34.159.148.128/api/Account/login,181,0,90
1695071498784,178,login,200,OK,Thread Group 1-2648,text,true,,327,288,1928,1928,http://34.159.148.128/api/Account/login,177,0,89
